lr,lc,rc,ld,rd,lnnz,rnnz,sp_right_todense,only_multiply,sp_smdm,bz_smsm,bz_right_todense,bz_smdm
23958,30459,9786,0.00160539,0.0005,1171533,149043,1739,18166,19905,327,1806,65802
93573,25256,1200,0.00018467,0.3,436441,9094265,130,1689,1819,11108,167,4556
97366,33288,5958,0.00056263,0.13,1823595,25785518,1965,32623,34588,76241,1549,73181
111378,72781,427,0.00031941,0.1,2589238,3112395,294,2602,2896,5080,105,7988
59952,21759,2384,0.00041097,0.001,536122,51888,78,3163,3241,105,96,8762
37277,6335,8305,0.00015297,0.2,36129,10524778,182,5402,5584,4022,131,6577
122335,65522,2027,0.00041097,0.25,3294205,33216643,1439,31856,33295,50312,437,47826
85283,55401,5954,0.00001651,0.13,78006,42884765,9518,22248,31766,5405,9454,10935
88648,49392,11945,0.00296184,0.005,12968430,2949991,5332,339996,345328,53227,2583,908915
70008,34309,14445,0.00056263,0.001,1351438,495625,2704,37703,40407,1144,2828,120098
78717,99615,6291,0.00015297,0.05,1199504,31338809,8887,20561,29448,33460,2524,67547
39049,43377,14025,0.00031941,0.03,541033,18252082,5988,25706,31694,20547,5656,56943
106348,17623,17965,0.00491597,0.13,9213441,41159621,20738,450878,471616,412629,1615,1040685
58019,54547,17077,0.00108175,0.07,3423537,65207439,16438,117021,133459,167477,4597,346210
10758,50741,4283,0.00002483,0.0005,13554,108676,1394,1458,2852,14,1397,2214
126899,52210,12948,0.00182521,0.07,12092788,47322584,14243,538814,553057,309445,3329,1095508
133764,1840,9040,0.00078778,0.15,193897,2495264,67,12577,12644,18996,48,22902
132278,48224,8077,0.00047003,0.15,2998367,58429137,2873,91196,94069,174315,1986,179515
17639,14561,16707,0.00160539,0.13,412379,31628398,7600,23214,30814,36391,847,40532
131403,43733,7722,0.00008429,0.1,484397,33774444,7957,29621,37578,34386,998,51936
15728,31500,45522,0.00860544,0.03,4263462,43019639,15177,247887,263064,116536,12620,1004111
87003,95285,15346,0.00182521,0.0005,15131430,731149,8915,518363,527278,7771,8429,1384577
122724,61616,2796,0.00031941,0.3,2415325,51698106,2074,37265,39339,65907,659,50682
74841,20268,16085,0.00047003,0.005,713008,1630128,2023,28133,30156,3420,1925,78066
134987,39791,9266,0.00018467,0.13,991923,47932957,10982,43903,54885,101564,1890,94968
10566,5335,13442,0.00013363,0.3,7534,21517895,774,1104,1878,2349,163,2094
71329,11594,216,0.00082185,0.15,679696,375814,27,386,413,1104,18,990
62177,74537,22036,0.00082487,0.001,3822919,1642560,8192,142660,150852,7235,8338,477252
108666,10740,19512,0.00078778,0.17,919427,35627383,1377,58888,60265,188507,1085,134550
32231,80720,577,0.00160539,0.3,4176859,13985604,184,3975,4159,6960,194,13110
68306,38201,16043,0.00082282,0.03,2147067,18386741,6560,65256,71816,71795,2871,203576
1609,92929,20795,0.00860544,0.0005,1287247,966261,8859,52391,61250,970,8888,163467
11006,60966,19826,0.00013363,0.03,89670,36262371,11945,16860,28805,4244,11339,25102
91522,11923,20111,0.01084252,0.0005,11831944,119900,3039,537932,540971,7852,310,1375666
49714,63275,30456,0.00000464,0.001,14595,1927119,8752,27714,36466,68,8787,36816
71595,49258,560,0.00082185,0.13,2898403,3589833,295,3019,3314,6040,121,9778
1984,4188,24646,0.00018467,0.27,1535,27870926,1094,546,1640,812,6525,1102
127563,20198,2442,0.00018467,0.0005,475808,24668,72,5620,5692,52,110,12295
44293,66924,333,0.00031941,0.2,946823,4463286,131,762,893,1989,60,2047
22540,17971,26056,0.00041097,0.005,166477,2341351,2587,16210,18797,1305,2699,35147
73287,5810,17923,0.00015297,0.3,65139,31243081,1109,23323,24432,27410,252,26727
80348,24008,14712,0.00002483,0.13,47897,45919803,10382,29203,39585,7599,10193,35508
83116,9119,5696,0.00015297,0.2,115948,10389143,544,6610,7154,12743,284,11635
29735,25167,22174,0.00082282,0.1,615772,55808823,13127,24557,37684,84354,2009,83378
2509,8267,27929,0.00082185,0.0005,17048,115445,1443,3294,4737,22,1459,5952
28028,50464,6709,0.00047003,0.001,664830,338574,2005,11631,13636,347,2051,30040
105970,16771,5723,0.01084252,0.2,19270355,19197223,930,289737,290667,206628,203,669562
53708,99995,1909,0.00018467,0.13,991788,24821230,1790,5212,7002,11047,560,14326
61905,48731,4252,0.00047003,0.005,1417981,1036045,1534,12748,14282,2060,1540,37657
87267,52848,3087,0.00002088,0.001,96297,163188,731,5263,5994,39,719,7065
9330,12165,12704,0.00860544,0.13,976794,20092750,1418,14372,15790,20215,347,66162
49255,32636,13889,0.00491597,0.03,7902553,13599335,6269,178259,184528,93289,2125,577927
42258,16391,1112,0.00182521,0.01,1264237,182419,46,2179,2225,856,37,7926
8481,44708,6048,0.00078778,0.23,298728,62197325,2114,5911,8025,8077,1404,13311
35773,24749,7821,0.00047003,0.17,416149,32907979,1955,16704,18659,33173,737,21563
66341,87385,9302,0.00001651,0.07,95713,56904020,14085,33930,48015,6221,13112,40835
66173,57686,8764,0.00952101,0.13,36344782,65725864,22041,494480,516521,375822,980,1661037
7297,11850,43501,0.00160539,0.03,138831,15465088,5091,15784,20875,17138,5266,23733
5061,15877,14085,0.00013363,0.15,10739,33546064,1501,2091,3592,1814,7498,3219
109258,67641,5832,0.00013363,0.13,987586,51286831,17851,36256,54107,59694,937,49397
17199,84760,1995,0.00296184,0.03,4317875,5074350,2624,12606,15230,5466,2904,46731
9314,7419,13478,0.00163948,0.2,113298,20000240,972,3179,4151,17268,403,9750
103198,28821,2863,0.00296184,0.001,8809386,82530,113,67354,67467,1437,2676,158680
43659,47194,33980,0.00002088,0.03,43023,48110586,16138,45903,62041,4012,14776,58407
14569,13356,16170,0.02533638,0.23,4930456,49677774,1722,121426,123148,131364,445,402422
34130,54768,3405,0.00370564,0.005,6926936,932440,2197,34513,36710,6438,2199,123200
82597,83646,2519,0.00013363,0.03,923240,6321702,2253,9988,12241,5640,2203,20928
19758,28427,18679,0.00078778,0.001,442480,531023,2853,18426,21279,516,2908,53902
81348,588,14173,0.00491597,0.01,235532,83476,28,13654,13682,1381,21,29384
69420,40962,10465,0.00952101,0.13,27074371,55732444,2936,477717,480653,367858,1563,1484124
47177,78811,6596,0.00019487,0.0005,724542,259940,2804,15381,18185,219,2820,36320
106859,15350,569,0.00041097,0.05,674136,437283,45,1118,1163,1319,30,3102
46367,11048,135,0.00491597,0.17,2518299,253986,24,552,576,862,16,1828
4057,67762,26834,0.00031941,0.01,87815,18184051,11173,23794,34967,1733,11109,33773
43333,88804,1885,0.00002088,0.25,80349,41864390,1707,2356,4063,3203,795,4409
33895,53317,26714,0.00370564,0.01,6696942,14243336,9908,280837,290745,92404,7007,940945
46756,53769,7584,0.00160539,0.01,4036030,4078138,3177,50471,53648,20217,3312,169611
98966,87945,14688,0.00370564,0.0005,32252780,645897,15404,1176893,1192297,20294,10230,2889740
124226,83003,2310,0.00370564,0.23,38209922,44118447,2102,312134,314236,224158,442,627928
9619,43777,19845,0.00108175,0.001,455549,868786,4344,22841,27185,654,4337,60811
16232,10652,12684,0.00182521,0.05,315616,6756092,1138,9375,10513,13849,501,26545
116115,98118,11052,0.00031941,0.05,3639059,54223806,15441,131108,146549,150395,5345,335026
66177,6349,17332,0.00952101,0.1,4000474,11004602,979,117138,118117,158641,324,373265
64050,5188,31464,0.00013363,0.13,44408,21222444,1486,25896,27382,17247,591,35953
7082,51415,40783,0.00015297,0.005,55707,10484603,10986,25949,36935,888,10904,39735
54135,41752,38273,0.00041097,0.001,928910,1598008,7508,77480,84988,2403,7523,228251
110661,20042,1144,0.00031941,0.23,708415,5275053,238,3864,4102,12804,137,6871
32780,23130,17094,0.00000434,0.15,3290,59309957,13602,4995,18597,978,2018,24787
125416,14326,3,0.01084252,0.1,19481042,4681,8,242,250,131,6,416
106078,18553,6299,0.00018467,0.17,363448,19870443,1072,16240,17312,30888,930,29729
95437,99103,2109,0.00296184,0.25,28013575,52252550,1746,156278,158024,155610,1094,349853
39597,80778,1805,0.00001651,0.2,52809,29176245,1448,1833,3281,1766,763,2910
84667,17519,6750,0.00160539,0.2,2381336,23654003,1116,39785,40901,97186,368,96990
82848,70924,10716,0.00002483,0.005,145901,3800364,4140,21478,25618,633,4104,28434
31526,11513,45258,0.00182521,0.07,662517,36475921,9053,60132,69185,123332,2585,182304
78312,23565,7906,0.00015297,0.3,282301,55892512,2063,27884,29947,49600,724,20260
25202,25620,6199,0.00082282,0.0005,531287,79412,1208,7202,8410,122,1232,20378
34422,86478,23247,0.00163948,0.0005,4880418,1005186,9759,179926,189685,3565,10006,620209
14144,5309,15737,0.00000434,0.27,325,22561902,846,10311,11157,226,5912,1008
44358,16271,11685,0.00082487,0.005,595392,950746,1464,14507,15971,2300,1474,44062
76873,97636,16492,0.00370564,0.03,27813025,48309209,21021,758392,779413,275059,7520,2508700
70658,18099,4270,0.00002088,0.001,26703,77287,353,3727,4080,20,342,4804
32360,2665,45187,0.00031941,0.07,27555,8432644,384,15278,15662,8023,506,23679
147394,27458,5779,0.00041097,0.2,1663311,31738071,1715,37904,39619,111812,323,75733
10221,419,21333,0.00082282,0.01,3526,89447,29,2007,2036,56,22,2234
56692,88821,2138,0.00860544,0.2,43333045,37984798,1821,141707,143528,137663,498,478550
70273,19995,29949,0.00056263,0.005,790577,2994283,3374,52735,56109,9217,3370,155576
17525,66539,8771,0.00031941,0.03,372484,17509862,5675,12275,17950,6741,5422,26041
1009,17035,19372,0.00296184,0.17,50953,56103796,12332,5723,18055,3722,1703,8607
60971,35514,27626,0.00000464,0.01,10047,9811375,6175,23910,30085,416,6095,29026
6600,8834,39569,0.00015297,0.13,8920,45445522,9943,3843,13786,3418,1782,24097
130616,24944,4186,0.00002088,0.1,68030,10442452,939,7763,8702,2516,2727,10223
92509,84398,3068,0.00370564,0.13,28932221,33670638,1736,227271,229007,138693,13384,531111
52822,18225,38829,0.00000464,0.005,4467,3538562,3778,20375,24153,104,3885,24010
139925,7761,5943,0.00182521,0.2,1982194,9226373,229,32392,32621,98226,105,85717
99742,15952,1883,0.01084252,0.2,17252080,6010094,110,77389,77499,63084,369,195418
8213,29864,12338,0.00860544,0.1,2110867,36848979,8753,31597,40350,26626,8717,137046
148295,70586,10233,0.00008429,0.07,882313,50562229,12317,53066,65383,81853,3552,106411
106369,78741,8068,0.00001651,0.01,138282,6353193,4036,18655,22691,950,4092,25967
34773,1693,11903,0.00056263,0.001,33132,20159,35,4179,4214,28,30,6550
102483,8370,9648,0.00000464,0.0005,3980,40382,362,7072,7434,13,355,7036
79098,33153,27005,0.00296184,0.03,7767106,26859588,10341,375972,386313,258493,4139,1155489
29129,30290,17065,0.00182521,0.07,1610458,36185243,9427,52251,61678,70980,2378,151100
143150,93278,87,0.00034241,0.0005,4572144,4072,17,1409,1426,36,13,3100
2642,15576,26398,0.00008429,0.15,3469,61676811,13214,2179,15393,1659,13094,3552
88999,13706,10833,0.01084252,0.0005,13226192,74244,253,312668,312921,3125,235,822523
145855,29838,5432,0.00034241,0.27,1490188,43763326,1661,37058,38719,111561,605,65790
119691,59648,8692,0.00000464,0.0005,33126,259236,2737,13977,16714,27,2749,18089
5045,25567,931,0.00860544,0.1,1110180,2381508,96,1414,1510,1159,61,5623
96800,66343,67,0.00491597,0.25,31570600,1117164,36,5669,5705,5305,25,13463
43568,87023,12162,0.00370564,0.005,14049825,5292307,8049,265570,273619,52623,6560,898034
141319,77728,4482,0.00296184,0.05,32534593,17419100,10929,517638,528567,154983,1679,1035063
89197,17394,20382,0.00082185,0.0005,1275105,177266,2082,55530,57612,626,2114,172556
144418,7770,9316,0.00056263,0.3,631369,21718658,834,28369,29203,115501,162,53416
33410,61523,6558,0.00491597,0.001,10104867,403493,3170,96017,99187,3650,3679,343975
4614,77191,1977,0.01084252,0.17,3862101,25955135,1478,10540,12018,10112,783,40826
149498,24663,3553,0.00056263,0.15,2074507,13144557,346,23376,23722,63658,200,57461
137841,16598,5004,0.00182521,0.23,4176065,19105917,801,73356,74157,124723,181,152258
4425,2806,3070,0.02533638,0.15,314627,1292552,45,1134,1179,1932,32,5014
87906,15292,10524,0.00860544,0.15,11568360,24140834,1473,264982,266455,254112,580,696417
105169,78939,2704,0.00002088,0.23,173346,49111665,1671,23063,24734,8876,10318,7369
32496,6653,19458,0.00031941,0.27,69056,34953644,1218,18635,19853,28851,299,13626
115721,77929,1260,0.00019487,0.15,1757358,14735341,349,5965,6314,18148,932,17815
89836,36122,107,0.00015297,0.01,496399,38889,17,226,243,130,12,478
46787,1840,40047,0.00182521,0.25,157185,18428395,784,24374,25158,94023,162,49823
145403,12494,13366,0.00952101,0.05,17296615,8350087,1386,724115,725501,296666,570,1588258
54821,11573,4809,0.00860544,0.15,5459856,8349149,175,42089,42264,49837,297,137065
28436,5810,37630,0.00952101,0.13,1573159,28424557,6758,80272,87030,154166,1126,310728
94130,40069,19510,0.00018467,0.07,696528,54724088,13340,59630,72970,80462,3791,130979
46606,75002,22719,0.00047003,0.001,1643041,1704005,8075,72908,80983,2407,8209,228202
44963,93459,20068,0.01084252,0.005,45563041,9377768,18210,1373875,1392085,127754,14619,4720649
99321,47329,4093,0.00163948,0.17,7707002,32939353,1945,92154,94099,107355,385,201379
20142,43299,10915,0.00108175,0.001,943484,472638,2570,18897,21467,692,2586,62126
22290,3628,41455,0.00056263,0.27,45499,40608411,1561,23056,24617,44552,534,19101
37323,42190,40215,0.00860544,0.03,13550901,50900603,19943,831271,851214,242055,7956,2903080
70266,23925,8549,0.00182521,0.23,3068395,47046079,1595,61616,63211,135220,1092,152603
108176,10277,16847,0.02533638,0.01,28169438,1731551,330,1046768,1047098,195786,241,1219710
18623,36187,9617,0.00370564,0.15,2497381,52205458,12587,31280,43867,41727,11893,130844
45554,44248,4608,0.00370564,0.23,7469617,46903538,1439,74242,75681,80066,1068,195790
57621,24396,20707,0.00002088,0.03,29351,15155164,4840,21136,25976,1433,4770,26717
63185,35864,30908,0.00034241,0.05,775950,55426907,15032,75389,90421,104589,5371,180799
39684,35674,39856,0.02533638,0.0005,35870059,710931,12550,2049867,2062417,44884,10804,7503112
145742,7273,5457,0.00041097,0.15,435646,5954690,132,11524,11656,27591,92,24668
104935,30190,2283,0.00160539,0.2,5085929,13788125,286,34394,34680,49699,372,78718
62516,9071,33530,0.00031941,0.005,181142,1520859,1783,27333,29116,2176,1911,57706
104687,62677,694,0.00031941,0.15,2095829,6529094,141,3692,3833,9602,198,11534
48661,61929,2487,0.00047003,0.1,1416474,15405282,1447,6383,7830,18750,636,22355
104636,18989,7540,0.00034241,0.15,680376,21477432,1269,23942,25211,63377,289,45176
15239,2305,16071,0.00952101,0.23,334514,8522074,140,9024,9164,27148,209,29781
38625,18083,33855,0.00182521,0.03,1274885,18366819,6288,72861,79149,89916,2912,250530
2674,8224,46590,0.00000464,0.005,102,1915940,2293,1898,4191,36,2562,3091
99120,5167,1758,0.00182521,0.15,934917,1362866,72,4727,4799,14781,33,12013
2006,23895,5687,0.00000434,0.23,208,31258000,1401,488,1889,218,290,884
127421,28581,11899,0.00082185,0.2,2993060,68021844,2588,125348,127936,274334,1777,268603
5977,61918,23382,0.00860544,0.03,3185260,43435153,15387,103455,118842,31954,13891,407728
28622,6023,25782,0.00056263,0.17,97005,26401930,1479,18654,20133,33049,319,26952
42031,2756,44667,0.00001651,0.005,1912,615653,586,12771,13357,49,570,12966
35424,35266,7029,0.00018467,0.03,230702,7437151,2579,9904,12483,3588,2449,16525
13856,26984,16641,0.00491597,0.005,1838207,2245358,2883,39979,42862,10679,2684,169514
73949,38630,8852,0.00047003,0.15,1342750,51297811,11968,44968,56936,89912,1360,75818
124497,22197,8624,0.01084252,0.15,29963611,28716034,1894,756963,758857,490478,423,1760519
11974,96365,2108,0.00082185,0.1,948369,20321664,4998,5377,10375,4281,5036,13501
57272,32313,4744,0.00082487,0.001,1526582,153298,1190,13916,15106,483,1230,44144
113741,52296,7952,0.00000464,0.13,27600,54062954,12650,31803,44453,3114,2111,37494
62475,50142,11853,0.00108175,0.05,3388772,29718924,8517,80268,88785,106456,2918,241329
86495,75793,20085,0.00182521,0.0005,11965655,761169,8795,528523,537318,10871,8783,1460959
